street number,street name
504,1st St N
409,2nd St NE
233,4th St SW
231,4th St SW
308,5th St SW
312,7th St SW
410,7 1/2 St SW
420,9th St NW
341,10th St NW
406,10 1/2 St NW
324,11th St NW
400,13th St NE
412,Allen Dr
1523,Amherst St
707,Avon St
804,Avon St
1103,Avon St
1104,Avon St
604,Belmont Ave
608,Belmont Ave
613,Belmont Ave
836,Belmont Ave
1208,Bland Cir
1115,Blenheim Ave
1204,Blue Ridge Rd
615,Bolling Ave
803,Bolling Ave
1631,Brandywine Dr
1647,Brandywine Dr
1430,Briarcliff Ave
612,Brown St
104,Buckingham Rd
229,Burnet St
106,Burnet Way
108,Burnet Way
123,Cameron Lane
1603,Cedar Hill Rd
305,Chestnut St
110,Chisolm Pl
534,Cleveland Ave
1014,Coleman St
203,Douglas Ave
204,Douglas Ave
209,Douglas Ave
506,Druid Ave
905,Druid Ave
2317,Fontaine Ave
1214,E Jefferson St
1508,Early St
612,Elliott Ave
613,Elliott Ave
1003,Elliott Ave
1321,E Market St
1329,E Market St
1516,E Market St
1601,E Market St
1620,E Market St
413,Fairway Ave
2311,Fontaine Ave
2317,Fontaine Ave
124,Franklin St
700,Graves St
717,Graves St
712,Graves St
1601,Green St
1502,Greenleaf Ln
1608,Greenleaf Ln
1203,Greenway Rd
1208,Greenway Rd
1301,Greenway Rd
1204,Grove St
1611,Hardwood Ave
204,Harris Rd
110,Harris Rd
117,Hartford Ct
1411,Hazel St
401,Hedge St
405,Hedge St
2331,Highland
1115,Hilltop Rd
612,Hinton Ave
1004,Homes Ave
1234,Holmes Ave
2309,Jefferson Park Ave
2408,Jefferson Park Ave
2411,Jefferson Park Ave
1436,Kenwood Ln
1448,Kenwood Ln
1001,King St
214,Lankford Ave
1112,Leonard St
1119,Leonard St
101,Leigh Pl
1419,Lester Dr
114,Lewis Mt Cir
1951,Lewis Mt Rd
2014,Lewis Mt Rd
500,Lexington Ave
620,Lexington Ave
1012,Locust Ave
1035,Locust Ave
1010,Locust Ln 
1012,Locust Ln 
945,Locust Ln 
1006,Long St
1036,Martin St
2724,McElroy Drive
622,McIntire Rd
311,Meade Ave
1610,Meadowbrook Heights Rd
1819,Meadowbrook Heights Rd
427,Mobile Ln
105,Monte Vista Ave
114,Monte Vista Ave
607,Monticello Ave
932,Monticello Ave
804,Montrose Ave
1112,Montrose Ave
613,Moseley Dr
739,Nalle St
805,Nalle St
856,Nalle St
829,nalle St
420,Oak St
104,Oak Lawn Ct
109,Oak Lawn Ct
102,Oak Lawn Dr
104,Oak Lawn Ct
105,Observatory Ave
907,Old Farm Rd
728,Orangedale St
710,Orangedale Ave
1128,Otter St
1508,Oxford Rd
1608,Oxford Rd
801,Page St
807,Page St
620,Park St
534,Park St
617,Park St
726,Park St
1007,Park St
120,Penick Ct
119,Piedmont Ave
1309,Poplar St
1110,Preston Ave
622,Preston Pl
626,Preston Pl
2305,Price Ave
811,Prospect Ave
108,Raymond Ave
909,Raymond Rd
913,Raymond Rd
1614,Rialto St
768,Ridge St
1017,Ridge st
1117,River Ct
1220,River Vista Ave
400,Robinson Pl
709,Rockcreek Rd
507,Rockland Ave
701,Rockland Ave
812,Rose Hill Ave
1161,Rose Hill Ave
1620,Rose Hill Ave
900,Rosser Ln
1011,Rougemont Ave
1515,Rugby Ave
1808,Rugby Pl
803,Rugby Rd
921,Rugby Rd
1205,Rugby Rd
1221,Rugby Rd
243,Shamrock Rd
715,Shamrock Rd
1005,Sheridan Ave
215,Spruce St
1111,St Charles Ct
921,St Clair Ave
1028,St Clair Ave
119,Stribling Ave
501,Stonehenge Ave
514,Stonehenge Ave
805,Stonehenge Ave
110,Thomas Dr
1916,Thompson Rd
1958,Thomson Rd
1618,Trailridge Rd
808,Valley View Cir
603,Watson Ave
624,Watson Ave
1895,Westview Rd
1406,Westwood Rd
101,W High St
400,W High St
2513,Willard Dr
2522,Willard Dr
611,Wine Cellar Cir
614,Wine Cellar Cir
224,Wine St
1855,Winston Rd
1716,Yorktown Dr
