street name,street number,SaleDate,SaleAmount
5TH ST SW,308,2020-11-17 05:00:00+00:00,444000
5TH ST SW,405,2015-06-04 04:00:00+00:00,0
7TH ST SW,301,2022-12-12 05:00:00+00:00,807600
7TH ST SW,312,2007-06-29 04:00:00+00:00,184500
BAILEY RD,619,2022-05-16 04:00:00+00:00,0
BRIARCLIFF AVE,1428,2018-07-13 04:00:00+00:00,306000
CHERRY AVE,917,2019-06-05 04:00:00+00:00,0
KING ST,1200,2020-10-16 04:00:00+00:00,406000
OAK ST,420,2011-07-12 04:00:00+00:00,152000
ORANGEDALE AVE,710,2014-10-31 04:00:00+00:00,0
PROSPECT AVE,811,2021-11-12 05:00:00+00:00,180000
